item_seq,item_name,normalized_item_name,ingredient_name,company_name,drug_class,relation_ids,relation_count,nutrients,source_type_inherited,source_url_inherited,source_checked_at,covered_by_relation
201706645,씬지록신정125마이크로그램(레보티록신나트륨수화물),씬지록신정125마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
202500949,씬지록신정137마이크로그램(레보티록신나트륨수화물),씬지록신정137마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
201604650,씬지록신정150마이크로그램(레보티록신나트륨수화물),씬지록신정150마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
201706671,씬지록신정25마이크로그램(레보티록신나트륨수화물),씬지록신정25마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
200301117,씬지록신정50마이크로그램(레보티록신나트륨수화물),씬지록신정50마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
201706147,씬지록신정75마이크로그램(레보티록신나트륨수화물),씬지록신정75마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
201706861,씬지록신정88마이크로그램(레보티록신나트륨수화물),씬지록신정88마이크로그램(레보티록신나트륨수화물),레보티록신,,갑상선호르몬,10;11,2,칼슘;철분,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903264,2026-06-11,True
201207060,글로비트정(레보플록사신수화물),글로비트정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
199901759,네보락신정(레보플록사신수화물),네보락신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
200001521,노팍신정(레보플록사신수화물),노팍신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201309425,대웅레보플록사신정100밀리그램(레보플록사신수화물),대웅레보플록사신정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
200201176,동구레보플록사신수화물정100mg,동구레보플록사신수화물정100mg,레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
