rank,ingredient_name,product_count,therapeutic_class,relation_covered,relation_card_products,covered_base_ingredient,in_popular_seed,sensitive_hold,queue_action
82,에제티미브/아토르바스타틴칼슘삼수화물,51,고지혈증,no,0,,yes,no,source_check_candidate
83,다파글리플로진프로판디올수화물/시타글립틴인산염수화물,51,당뇨,no,0,,yes,no,source_check_candidate
84,플루르비프로펜,51,기타,no,0,,no,no,source_check_candidate
85,칸데사르탄실렉세틸,50,고혈압/심혈관,no,0,,yes,no,source_check_candidate
86,엠파글리플로진,50,당뇨,no,0,,yes,no,source_check_candidate
87,리바스티그민타르타르산염,50,기타,no,0,,no,no,source_check_candidate
88,니자티딘,48,소화/위장,no,0,,yes,no,source_check_candidate
89,라푸티딘,48,소화/위장,no,0,,yes,no,source_check_candidate
90,아젤라스틴염산염,48,기타,no,0,,no,no,source_check_candidate
91,리도카인,48,기타,no,0,,no,no,source_check_candidate
92,이트라코나졸고체분산체,47,항진균,no,0,,no,no,source_check_candidate
93,암로디핀베실산염/올메사르탄메독소밀,47,고혈압/심혈관,no,0,,yes,no,source_check_candidate
94,아스피린,47,기타,no,0,,yes,no,source_check_candidate
95,보노프라잔푸마르산염,46,기타,no,0,,no,no,source_check_candidate
96,툴로부테롤,46,기타,no,0,,no,no,source_check_candidate
97,엔테카비르,45,기타,no,0,,no,no,source_check_candidate
98,데스모프레신아세트산염,45,기타,no,0,,no,no,source_check_candidate
99,베타메타손발레레이트/겐타마이신황산염,45,기타,no,0,,no,no,source_check_candidate
100,세틸피리디늄염화물,45,기타,no,0,,no,no,source_check_candidate
101,로수바스타틴칼슘/칸데사르탄실렉세틸,44,고혈압/심혈관,no,0,,yes,no,source_check_candidate
102,판토프라졸나트륨세스키히드레이트,43,소화/위장,yes,43,판토프라졸,yes,no,covered
103,펙소페나딘염산염,43,호흡기/알레르기,no,0,,yes,no,source_check_candidate
104,테라조신염산염수화물,43,기타,no,0,,no,no,source_check_candidate
105,리바록사반,43,항혈전(민감),no,0,,yes,yes,source_check_hold(sensitive)
106,오메프라졸,42,소화/위장,yes,42,에스오메프라졸,yes,no,covered
107,나프록센,42,해열진통/소염,no,0,,yes,no,source_check_candidate
108,아토르바스타틴칼슘수화물,42,고지혈증,no,0,,yes,no,source_check_candidate
109,피타바스타틴칼슘수화물,42,고지혈증,no,0,,yes,no,source_check_candidate
110,이토프리드염산염,42,소화/위장,no,0,,yes,no,source_check_candidate
111,염화세틸피리디늄,42,기타,no,0,,no,no,source_check_candidate
112,리바스티그민,41,기타,no,0,,no,no,source_check_candidate
113,세프포독심프록세틸,39,항생/항균,no,0,,no,no,source_check_candidate
114,리세드론산나트륨2.5수화물/콜레칼시페롤농축물(분말형),39,골다공증,yes,39,리세드론산,yes,no,covered
115,암로디핀베실산염/로사르탄칼륨,38,고혈압/심혈관,no,0,,yes,no,source_check_candidate
116,올메사르탄메독소밀/암로디핀베실산염,37,고혈압/심혈관,no,0,,yes,no,source_check_candidate
117,리나글립틴,37,당뇨,no,0,,yes,no,source_check_candidate
118,테고프라잔,37,기타,no,0,,no,no,source_check_candidate
119,올란자핀,37,정신건강(민감),no,0,,no,yes,source_check_hold(sensitive)
120,라사길린메실산염,37,기타,no,0,,no,no,source_check_candidate
121,피타바스타틴칼슘,36,고지혈증,no,0,,yes,no,source_check_candidate
122,플루오로메톨론,36,기타,no,0,,no,no,source_check_candidate
123,포비돈요오드,36,기타,no,0,,no,no,source_check_candidate
124,암브록솔염산염,35,호흡기/알레르기,no,0,,yes,no,source_check_candidate
