candidate_id,family,drug_ingredient,counterpart,priority,sc_status,itemSeq,source_section,source_quote
RF-F3-0155,F3,클로드론산,Al/Mg 함유 제산제(약물),P1,no_domestic_product,,,
RF-F6-0188,F6,파모티딘,철분,P1,label_not_found,198902704,,
RF-F6-0189,F6,파모티딘,비타민B12,P1,label_not_found,198902704,,
RF-F3-0156,F3,파미드론산,칼슘,P1,no_domestic_product,,,
RF-F3-0157,F3,파미드론산,철분,P1,no_domestic_product,,,
RF-F3-0158,F3,파미드론산,마그네슘,P1,no_domestic_product,,,
RF-F3-0159,F3,파미드론산,Al/Mg 함유 제산제(약물),P1,no_domestic_product,,,
RF-F6-0204,F6,판토프라졸,철분,P1,direction_mismatch,200702870,,
RF-F10-0276,F10,포사코나졸,Al/Mg 함유 제산제(약물),P1,source_confirmed_draft_candidate,201502727,상호작용,포사코나졸과 H2 수용체 억제제의 병용은 환자에 대한 이익이 위험을 상회하지 않는 한 피해야 한다.
RF-F9-0260,F9,라모트리진,엽산,P2,source_confirmed_draft_candidate,200209641,병용투여,이 약은 디히드로폴레이트 환원효소의 약한 억제제이며 랫트에서의 시험은 임신 중 엽산의 감소를 제시하였다.
RF-F9-0261,F9,라모트리진,비타민D,P2,label_not_found,200209641,,
RF-F9-0262,F9,라모트리진,비타민B12,P2,label_not_found,200209641,,
RF-F9-0248,F9,발프로산,엽산,P2,label_not_found,198900925,,
RF-F9-0249,F9,발프로산,비타민D,P2,label_not_found,198900925,,
RF-F9-0250,F9,발프로산,비타민B12,P2,label_not_found,198900925,,
RF-F9-0269,F9,설파살라진,엽산,P2,source_confirmed_draft_candidate,199803482,상호작용,"엽산과 병용투여 시 엽산의 흡수가 저하되고, 거대적혈모구증, 범혈구감소를 초래하는 엽산결핍증을 일으킬 수 있으므로 엽산결핍증이 의심되는 경우에는 엽산을 보충한다."
RF-F9-0270,F9,설파살라진,비타민D,P2,label_not_found,199803482,,
RF-F9-0271,F9,설파살라진,비타민B12,P2,label_not_found,199803482,,
RF-F9-0257,F9,옥스카르바제핀,엽산,P2,source_confirmed_draft_candidate,200008776,주의사항,": 흔하게 특별한 임상 상황 하에서 발생하고 고령 환자에서 더 자주 나타나는 저나트륨혈증, 매우 드물게 경련, 뇌병증, 인지력 저하, 혼돈(신경계 참조), 시각장애(예, 시야혼탁), 갑상선기능저하증, 구토, 구역, 엽산 결핍 등의 증상성 저나트륨혈증이 나타날 수 있다."
RF-F9-0258,F9,옥스카르바제핀,비타민D,P2,label_not_found,200008776,,
RF-F9-0259,F9,옥스카르바제핀,비타민B12,P2,label_not_found,200008776,,
RF-F9-0266,F9,조니사미드,엽산,P2,label_not_found,199000165,,
RF-F9-0267,F9,조니사미드,비타민D,P2,label_not_found,199000165,,
RF-F9-0268,F9,조니사미드,비타민B12,P2,label_not_found,199000165,,
RF-F9-0245,F9,카르바마제핀,엽산,P2,source_confirmed_draft_candidate,198401121,병용투여,"투여 시 이상반응 4. 이상반응 ::: 기관구분, 발생빈도, 이상반응 기관구분 발생빈도 이상반응 혈액 및 림프계 매우 흔하게 백혈구 감소증 흔하게 혈소판 감소증, 호산구 증가증 드물게 백혈구 증가, 임파절 장애, 엽산 결핍증 매우 드물게 무과립구증, 재생불량성 빈혈, 온혈구감소증, 순수 적혈구 무형성, 빈혈, 거대적아구성 빈혈, 급성 간헐성 포르피린증, 혼합 포르피린증, 만발피부 포르피린증, 망상적혈구증가증, 용혈성 빈혈 면"
RF-F9-0246,F9,카르바마제핀,비타민D,P2,source_confirmed_draft_candidate,198401121,병용투여,"닌) 감소와 갑상선자극호르몬 증가) 등의 임상증상을 동반하거나 동반하지 않지만 보통 임상 증상을 동반하지 않는 혈중 프로락틴 증가와 혈장 칼슘과 혈중25-hydroxy-콜레칼시페롤의 감소와 같은 골대사 장애로 인한 골연화증 및 골다공증, HDL 콜레스테롤과 중성지방을 포함하는 혈중 콜레스테롤 증가 대사 및 영양계 빈도불명 고암모니아혈증 정신계 드물게 시각적 청각적 환각, 우울, 식욕부진, 불안, 공격적 행동, 초조, 혼돈상태"
RF-F9-0247,F9,카르바마제핀,비타민B12,P2,label_not_found,198401121,,
RF-F9-0263,F9,토피라메이트,엽산,P2,label_not_found,200503065,,
RF-F9-0264,F9,토피라메이트,비타민D,P2,label_not_found,200503065,,
RF-F9-0265,F9,토피라메이트,비타민B12,P2,label_not_found,200503065,,
RF-F9-0272,F9,트리메토프림,엽산,P2,source_confirmed_draft_candidate,197000049,주의사항,"폴산결핍 또는 대사이상 환자(이미 위적출술을 받은 환자, 다른 폴산대사길항제를 투여받고 있는 환자, 선천성 폴산대사이상 환자 등)(폴산결핍을 악화시켜 거대적아구성빈혈을 일으킬 수 있다.) 4. 이상반응"
RF-F9-0273,F9,트리메토프림,비타민D,P2,label_not_found,197000049,,
RF-F9-0274,F9,트리메토프림,비타민B12,P2,label_not_found,197000049,,
RF-F9-0251,F9,페노바르비탈,엽산,P2,source_confirmed_draft_candidate,197000212,병용투여,임신중의 투여에 의해 엽산 저하가 생긴다는 보고가 있다.
RF-F9-0252,F9,페노바르비탈,비타민D,P2,source_confirmed_draft_candidate,197000212,주의사항,"근골격계 : 연용중에 구루병, 골연화증, 치아형성부전 등이 나타날 수 있으므로 관찰을 충분히 하고 이상(혈청 ALP, 혈청칼슘, 무기인의 저하)이 나타나는 경우에는 감량 또는 비타민 D를 섭취하는 등 주의한다."
RF-F9-0253,F9,페노바르비탈,비타민B12,P2,label_not_found,197000212,,
RF-F9-0242,F9,페니토인,엽산,P2,source_confirmed_draft_candidate,197000104,주의사항,"기타 : 결절성 동맥주위염, 다발성 관절증, 과혈당, 드물게 발열, 갑상샘기능검사치(혈청 T3, T4치 등)이상, 다모, 혈청엽산치 저하가 나타날 수 있다(경구제에 한함.). 1"
RF-F9-0243,F9,페니토인,비타민D,P2,source_confirmed_draft_candidate,197000104,주의사항,"근골격계 : 연용에 의해 구루병, 골연화증, 치아형성부전 등이 나타날 수 있으므로 관찰을 충분히 하고 이상(ALP, 혈청 칼슘 저하 및 무기인 저하 등)이 나타나는 경우에는 감량 또는 비타민D를 투여하는 등 적절히 조치한다."
RF-F9-0244,F9,페니토인,비타민B12,P2,label_not_found,197000104,,
RF-F9-0254,F9,프리미돈,엽산,P2,source_confirmed_draft_candidate,198000160,병용투여,임신중의 투여에 의해 엽산저하가 생긴다는 보고가 있다.
RF-F9-0255,F9,프리미돈,비타민D,P2,source_confirmed_draft_candidate,198000160,주의사항,"근골격계 : 연용시 구루병, 골연화증, 치조골형성부전이 나타날 수 있으므로 이상(ALP, 혈청칼슘, 무기질저하 등)이 나타나면 감량 또는 비타민 D를 투여하는 등 적절한 처치를 한다."
RF-F9-0256,F9,프리미돈,비타민B12,P2,label_not_found,198000160,,
