candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,is_combination,combination_basis_ingredient,combination_notice_required,combo_relation_ingredient_count,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required
"미살탄플러스정40/12.5밀리그램(텔미사르탄, 히드로클로로티아지드)",히드로클로로티아지드,201903560,"미살탄플러스정40/12.5밀리그램(텔미사르탄, 히드로클로로티아지드)",텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903560,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
"미살탄플러스정80/12.5밀리그램(텔미사르탄, 히드로클로로티아지드)",히드로클로로티아지드,201903559,"미살탄플러스정80/12.5밀리그램(텔미사르탄, 히드로클로로티아지드)",텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201903559,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카르디스플러스정40/12.5밀리그램,히드로클로로티아지드,200209850,미카르디스플러스정40/12.5밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200209850,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카르디스플러스정80/12.5밀리그램,히드로클로로티아지드,200209851,미카르디스플러스정80/12.5밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200209851,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카르텔미플러스정40/12.5밀리그램,히드로클로로티아지드,201503630,미카르텔미플러스정40/12.5밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201503630,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카르텔미플러스정80/12.5밀리그램,히드로클로로티아지드,201503631,미카르텔미플러스정80/12.5밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201503631,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카탄플러스정40/12.5밀리그램,히드로클로로티아지드,201000877,미카탄플러스정40/12.5밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201000877,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카탄플러스정80/12.5밀리그램,히드로클로로티아지드,201000878,미카탄플러스정80/12.5밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201000878,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카탄플러스정80/25밀리그램,히드로클로로티아지드,201005059,미카탄플러스정80/25밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201005059,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카테르플러스정40/12.5밀리그램,히드로클로로티아지드,201208653,미카테르플러스정40/12.5밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201208653,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카테르플러스정80/12.5밀리그램,히드로클로로티아지드,201208654,미카테르플러스정80/12.5밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201208654,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
미카테르플러스정80/25밀리그램,히드로클로로티아지드,201207594,미카테르플러스정80/25밀리그램,텔미사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201207594,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
바레탄플러스정160/12.5mg,히드로클로로티아지드,201507999,바레탄플러스정160/12.5mg,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201507999,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
바레탄플러스정80/12.5mg,히드로클로로티아지드,201507998,바레탄플러스정80/12.5mg,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201507998,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
바르반플러스정80/12.5mg,히드로클로로티아지드,201602890,바르반플러스정80/12.5mg,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201602890,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
바사탄플러스정160/12.5밀리그램,히드로클로로티아지드,201403270,바사탄플러스정160/12.5밀리그램,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201403270,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
바사탄플러스정80/12.5밀리그램,히드로클로로티아지드,201403269,바사탄플러스정80/12.5밀리그램,발사르탄 / 히드로클로로티아지드,True,히드로클로로티아지드,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201403269,nedrug.searchDrug,2026-06-12,nedrug.getItemDetail,2026-06-12,high,low,v0.8-hctz-1,True,False,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True
