candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required
시프사신정250밀리그램(시프로플록사신염산염수화물),시프로플록사신,201801819,시프사신정250밀리그램(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201801819,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
시플로뉴정250밀리그램(시프로플록사신염산염수화물),시프로플록사신,201901820,시플로뉴정250밀리그램(시프로플록사신염산염수화물),시프로플록사신염산염수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201901820,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
알레드론정70mg(알렌드론산나트륨삼수화물),알렌드론산,201801386,알레드론정70mg(알렌드론산나트륨삼수화물),알렌드론산나트륨삼수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201801386,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
알렌다정(알렌드론산나트륨삼수화물),알렌드론산,201904313,알렌다정(알렌드론산나트륨삼수화물),알렌드론산나트륨삼수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201904313,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
알렌산정70밀리그램(알렌드론산나트륨삼수화물),알렌드론산,201906584,알렌산정70밀리그램(알렌드론산나트륨삼수화물),알렌드론산나트륨삼수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201906584,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
알렌스타정(알렌드론산나트륨삼수화물),알렌드론산,201901596,알렌스타정(알렌드론산나트륨삼수화물),알렌드론산나트륨삼수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201901596,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
알로네이트정(알렌드론산나트륨수화물),알렌드론산,200512324,알로네이트정(알렌드론산나트륨수화물),알렌드론산나트륨수화물,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200512324,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
셀트리온오메프라졸캡슐20밀리그램(오메프라졸),오메프라졸,201704833,셀트리온오메프라졸캡슐20밀리그램(오메프라졸),오메프라졸 장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201704833,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
아메졸캡슐(오메프라졸),오메프라졸,200411207,아메졸캡슐(오메프라졸),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200411207,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
아주오메프라졸캡슐,오메프라졸,199700918,아주오메프라졸캡슐,오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199700918,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
애니시드캡슐(오메프라졸장용성과립),오메프라졸,200411087,애니시드캡슐(오메프라졸장용성과립),오메프라졸장용성과립,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200411087,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
오플로정(오플록사신),오플록사신,201603948,오플로정(오플록사신),오플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201603948,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
오플록정100밀리그램(오플록사신),오플록사신,201601053,오플록정100밀리그램(오플록사신),오플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201601053,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
옥타신정(오플록사신),오플록사신,199202946,옥타신정(오플록사신),오플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199202946,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
제뉴원오플록사신정,오플록사신,200404693,제뉴원오플록사신정,오플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=200404693,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
지엘오플록사신정100밀리그램,오플록사신,201904655,지엘오플록사신정100밀리그램,오플록사신,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201904655,nedrug.getItemDetail,2026-06-11,nedrug.getItemDetail,2026-06-11,high,low,v0.5-batch-5,true,false,getItemDetail 상세확정(품목명·단일주성분 일치). 사람 검토 후 다음 batch 반영 대상,true
