candidate_alias,canonical_ingredient,item_seq,item_name,ingr_name,is_combination,combination_basis_ingredient,combination_notice_required,combo_relation_ingredient_count,source_url,source_method,source_checked_at,detail_source_method,detail_checked_at,confidence,risk_level,batch_id,approved_ready,incorporated,reason,reviewer_required,incorporated_alias_batch,incorporated_at
광동메포시타정50/850밀리그램,메트포르민,202200316,광동메포시타정50/850밀리그램,메트포르민염산염 콜로이드성이산화규소 / 시타글립틴염산염수화물,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202200316,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
"그루리스엠정(글리메피리드,메트포르민염산염)",메트포르민,201308664,"그루리스엠정(글리메피리드,메트포르민염산염)",글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201308664,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
그리마린엠정2/500밀리그램,메트포르민,201106782,그리마린엠정2/500밀리그램,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201106782,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
그리메폴서방정2/500밀리그램,메트포르민,201206847,그리메폴서방정2/500밀리그램,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201206847,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글라포민엠정1/250 밀리그램,메트포르민,201107226,글라포민엠정1/250 밀리그램,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201107226,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글라포민엠정1/500밀리그램,메트포르민,201107227,글라포민엠정1/500밀리그램,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201107227,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글라포민엠정2/500밀리그램,메트포르민,201106982,글라포민엠정2/500밀리그램,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201106982,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
글레딘엠정2/500밀리그램,메트포르민,201107204,글레딘엠정2/500밀리그램,글리메피리드 / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=201107204,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
"글레린듀오서방정2.5/1000밀리그램(리나글립틴,메트포르민)",메트포르민,202400626,"글레린듀오서방정2.5/1000밀리그램(리나글립틴,메트포르민)",리나글립틴(미분화) / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202400626,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
"글레린듀오서방정5/1000밀리그램(리나글립틴,메트포르민)",메트포르민,202400627,"글레린듀오서방정5/1000밀리그램(리나글립틴,메트포르민)",리나글립틴(미분화) / 메트포르민염산염,True,메트포르민,True,1,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=202400627,nedrug.searchDrug,2026-06-11,nedrug.getItemDetail,2026-06-12,high,low,v0.7-combo-1,True,True,getItemDetail 상세확정: 복합제 주성분 중 relation 보유 성분 정확히 1개(=canonical). 복합제 고지 필요. G4 반영 대상,True,v0.7-combo-1,2026-06-12
